direction,lambda_rep,E_lambda,E0_inferred,overlap,center_offset_norm,separation,branch_type,regime_lambda,field_l2_step,field_linf_step,center_step,label_swapped,field_l2_from_root,center_from_root,jump_flag
up,0.0,15.480747485108243,15.480747485108243,8.8843085879333,0.005442356925005938,0.6743198521958769,Type A candidate,strongly-interacting,0.0,0.0,0.0,False,0.0,0.0,False
up,0.01,7.4145857541533715,7.3880854223149255,2.6500331838446227,0.03263365970927445,5.063074047564443,Type A candidate,strongly-interacting,0.38197188432678325,0.5486560683689639,0.24832679490385404,False,0.38197188432678325,0.24832679490385404,True
up,0.02,4.628565644449842,4.628565644449842,0.0,0.06928012885342782,6.310672485688686,Type A candidate,weakly-interacting,0.1871770211816341,0.38420276933324216,0.09381444535154072,False,0.5274654052743587,0.33262749950834125,False
up,0.05,4.538323503454899,4.538323503454899,0.0,0.07970784734249714,6.355030156844119,Type A candidate,weakly-interacting,0.03960708817549484,0.1252213598253505,0.01182888026643552,False,0.5411393748413806,0.3361224333563501,False
up,0.075,4.523239739276823,4.523239739276823,0.0,0.08424048317210993,6.354807166637354,Mixed/ambiguous,weakly-interacting,0.017482354082599377,0.08873519883976949,0.005879572129119656,False,0.5433085441647731,0.3365684097207151,False
up,0.1,4.514587042856353,4.514587042856353,0.0,0.0870098406272051,6.352496481963754,Mixed/ambiguous,weakly-interacting,0.013417405564091076,0.07927622342447405,0.00432476429613301,False,0.5441921473742043,0.33682893042760365,False
down,0.0,4.55848519175421,4.55848519175421,0.07455157562056379,0.13966764861705142,6.066295463296606,Type B candidate,weakly-interacting,0.00118711070688088,0.0063654578186777555,0.00017006181334422291,False,0.5211050561898902,0.3107737339052544,False
down,0.01,4.559287184728359,4.5585596204359655,0.07275642923939007,0.1395385208333379,6.066153058835593,Type B candidate,weakly-interacting,0.003392492858391829,0.011512596502094907,0.0006633248256359968,False,0.5210248901277248,0.31064128996195667,False
down,0.02,4.560669046222024,4.559218749076621,0.07251485727019454,0.13913563447842414,6.063605810904637,Type B candidate,weakly-interacting,0.018994327825110905,0.06859780635297556,0.004004980946890387,False,0.5200860738639104,0.3101412900133892,False
down,0.05,4.585335439580899,4.580937693011089,0.08795493139621056,0.13681874256710638,6.044487501020682,Type B candidate,weakly-interacting,0.1144275715521964,0.2447696215720251,0.031793059499935196,False,0.5125174044819757,0.30752188687680904,False
down,0.075,5.634134368948979,5.574459867151923,0.7956600239607521,0.1167150734379926,5.689576455073013,Mixed/ambiguous,weakly-interacting,0.43831101753064744,0.5416196166448456,0.2864699096451182,False,0.43831101753064744,0.2864699096451182,True
down,0.1,16.146810422613907,15.272470000028346,8.743404225855626,0.018621754875086,0.9854985878306904,Type A candidate,strongly-interacting,0.0,0.0,0.0,False,0.0,0.0,False
