trajectory,iter,total_energy,overlap,max_gnorm
raw,1,91.49027294097829,29.10314909008771,16.161569482468064
raw,5,88.87494477909195,28.469858377858344,0.2788069236048933
raw,10,86.03025860587734,27.764230703153533,0.257319225020672
raw,15,83.55616841041859,27.11562950540023,0.24081591084294077
raw,20,81.34312902462126,26.493287102126192,0.2285003104237368
raw,25,79.30900597839135,25.872143413866908,0.21970995547234326
raw,30,77.39111255894906,25.231376857775302,0.21379025046351824
raw,35,75.54415115071606,24.558962018191526,0.21017705095165556
raw,40,73.73587670794655,23.847956769128743,0.20833237734656262
raw,45,71.94290597940176,23.091525829507752,0.20781640974873325
raw,50,70.15587463913374,22.299068196968577,0.20826706731304195
raw,55,68.36731531470753,21.469723691000144,0.20932875554372016
raw,60,66.57299837012438,20.603429164225886,0.2107629495239268
raw,65,64.77187432024107,19.69545783893352,0.21243834779020374
raw,70,62.97348820338314,18.762416241748035,0.21416062609406303
raw,75,61.17621222612172,17.794790734165534,0.21583536488919713
raw,80,59.392962188650884,16.809339943678623,0.21737546847694791
raw,85,57.63065204433523,15.817719759383603,0.21878603749109274
raw,90,55.88650116666018,14.803707221527326,0.22000743534109649
raw,95,54.18007196223452,13.800253822062526,0.22099030758693067
raw,100,52.523778865392906,12.820998875513695,0.22178597190924426
raw,105,50.91819701334063,11.862914123238824,0.22245135859144222
raw,110,49.35686856126773,10.910356894500666,0.2230956596214216
raw,115,47.85995499312193,10.002462708572658,0.22370959677357094
raw,120,46.42755399216259,9.138755310345829,0.22462611741444477
raw,125,45.06021534794072,8.32190016304482,0.22597773411457314
raw,130,43.76305670804143,7.557569547311836,0.22716489335776244
raw,135,42.53162102920514,6.834824555745547,0.228206359112214
raw,140,41.36915637416572,6.162207383245569,0.22910809733342202
raw,145,40.27554988416307,5.536903980067175,0.22999784189142872
raw,150,39.25548362309746,4.965379904417153,0.23082388512566854
raw,155,38.29858341161819,4.431591889503716,0.23169222140828705
raw,160,37.41451937466058,3.9519919074576135,0.2325424174549951
raw,165,36.59667788046213,3.5165699688264724,0.2331970195617751
raw,170,35.84516431004408,3.130588556472225,0.23381279606762356
raw,175,35.1619468263848,2.8099679385534473,0.2343823906693018
raw,180,34.52937052942086,2.5212255723819137,0.23487182829202324
raw,185,33.94241974129581,2.2573906885322375,0.2359964871376365
raw,190,33.405273285456026,2.027795000349433,0.23710312411215226
raw,195,32.91436613208039,1.833478997146221,0.23818012780087638
raw,200,32.46093454655057,1.6612946135974167,0.23922884216756043
raw,205,32.04309693208883,1.5080313141021886,0.2402285976458721
raw,210,31.65532294681356,1.370349097976997,0.2412353414282477
raw,215,31.297236049790115,1.252316670906933,0.24218789788680678
raw,220,30.963245635990546,1.1432580417760811,0.24312436386122407
raw,225,30.650935381988262,1.044679960980914,0.2440488815095423
raw,230,30.362835820410698,0.960556180884417,0.2449123842199065
raw,235,30.098623107086087,0.8871160390032826,0.24571083799540355
raw,240,29.85308124162182,0.8236168960882013,0.24645784968361592
raw,245,29.621676500719712,0.7646486312895314,0.24719606024674307
raw,250,29.40623802808987,0.7170264170445543,0.24789731578138294
raw,255,29.20558421034696,0.67362713984648,0.2485605573441846
raw,260,29.016462793206117,0.6349041189252198,0.2491902988959868
raw,265,28.838742303263604,0.5998881292839442,0.24978266447666067
raw,270,28.674901731999594,0.5717978033534117,0.25032510328122504
raw,275,28.51963610339942,0.5484720907698278,0.2508166767802832
raw,280,28.37284413510184,0.5276365637328746,0.2512663053209122
raw,285,28.23341896381294,0.5093057354865056,0.2516721595420951
raw,290,28.10082188683167,0.49282272571023394,0.25203926636787566
raw,295,27.97383480241961,0.4774286086387606,0.25237656594079183
raw,300,27.85250495372973,0.46291023131052583,0.25267959911841126
seed,1,17.902276161795726,0.04470690595450729,0.25577864225650454
seed,5,17.896069275463667,0.04418518871592902,0.2557913608122121
seed,10,17.888260434728494,0.04352567826012828,0.2558069726812341
seed,15,17.88040166894451,0.0428581211617358,0.2558220774715612
seed,20,17.872499614793757,0.04218265467947169,0.25583669831171135
seed,25,17.86456119537756,0.04149943665018689,0.2558508482147612
seed,30,17.856593590857003,0.04080869639060032,0.2558645676482744
seed,35,17.84860429255539,0.040110835458270946,0.2558779565299135
seed,40,17.840600874144908,0.03940610327830243,0.25589112444830625
seed,45,17.832590915537796,0.03869464607541956,0.25590400400728824
seed,50,17.824582118135623,0.03797678697188937,0.25591663870647274
seed,55,17.816582015819193,0.03725302581064206,0.2559290368379493
seed,60,17.80859792547974,0.03652369389650631,0.2559412299217307
seed,65,17.800637078229794,0.03578909022868597,0.2559532628726643
seed,70,17.7927065652762,0.03504952132231347,0.25596517775704475
seed,75,17.784813276981566,0.03430529861542266,0.25597701322744515
seed,80,17.77696477033977,0.033556153007745594,0.25598872766668457
seed,85,17.769169979100596,0.032801789785758845,0.2560001123140134
seed,90,17.76156486516583,0.032639152563084195,0.2560073685156551
seed,95,17.754042978114686,0.032492081863629105,0.2560139015011648
seed,100,17.74660431564805,0.032342402790469856,0.25602076960493153
seed,105,17.739252123646366,0.032190009360935384,0.2560279574567591
seed,110,17.73198924234344,0.03203480103872603,0.2560354457834175
seed,115,17.72481808949094,0.03187668211702825,0.2560432112586917
seed,120,17.71774065041101,0.03171556115643384,0.25605122645154293
seed,125,17.710758474475575,0.031551350467441466,0.25605945986906187
seed,130,17.703872677491418,0.03138396562952545,0.2560678760900013
seed,135,17.697083949406323,0.031213325039826868,0.2560764359838451
seed,140,17.690392566698904,0.031039349486434387,0.25608509700935217
seed,145,17.683798408768677,0.03086196174199206,0.25609381358547123
seed,150,17.677300845807537,0.03068882468373254,0.25610248754470916
seed,155,17.67089761154481,0.030554808086660293,0.2561107626127771
seed,160,17.66458546770909,0.030475669969013592,0.2561184464635497
seed,165,17.658361185178425,0.030464187286064807,0.2561254504050275
seed,170,17.652224264079543,0.03052078709388918,0.2561312468101095
seed,175,17.646169950534908,0.030637186730427445,0.256135948014902
seed,180,17.6401943238674,0.030805266515055284,0.2561398558961458
seed,185,17.634294259773768,0.03101732441076112,0.2561429683763818
seed,190,17.628466652524047,0.03126665304013426,0.25614528139878906
seed,195,17.62270838644062,0.03154740648482951,0.2561467897564696
seed,200,17.61701631624318,0.03185448478714059,0.25614748788872177
seed,205,17.611387527996666,0.03218425017569707,0.25614730761132687
seed,210,17.605818616337068,0.032532121057304186,0.25614627207653917
seed,215,17.600306245645076,0.032894553013273826,0.2561444109930416
seed,220,17.59484706112292,0.03326855310631728,0.25614172448704153
seed,225,17.58943764780337,0.033651488825163306,0.25613821545837684
seed,230,17.584074530802173,0.03404103857662345,0.25613389001105275
seed,235,17.578754176602224,0.03443514863768275,0.256128757816516
seed,240,17.573472995230524,0.03483199571812322,0.2561228324118148
seed,245,17.56822734328699,0.035229954400363,0.25611613143569556
seed,250,17.563013527851393,0.03562756882181778,0.2561086768063233
seed,255,17.55782781134217,0.03602352805098214,0.25610049484478614
seed,260,17.552666417427805,0.036416644681802016,0.2560916163488734
seed,265,17.547525538105365,0.03680583623452164,0.2560820766216747
seed,270,17.542401342063183,0.03719010900631661,0.25607191545957947
seed,275,17.53729102596935,0.037567773168866586,0.25606112738253733
seed,280,17.532190382460225,0.03793841575089585,0.25604976155520964
seed,285,17.527095094502574,0.03830160906296814,0.2560379280573458
seed,290,17.52200139954458,0.038656899871683074,0.25602566446977554
seed,295,17.51690552184266,0.03900351055165446,0.25601300993216647
seed,300,17.51180368202696,0.03934046118719512,0.25600006813124404
