Filename,Part,Chapter,Caption,Page_Ref,Status
1d_field.pdf,P1_foundations,Ch1-3,,,PASS
bind_comparison.pdf,P1_foundations,Ch1-3,,,PASS
bind_formula.pdf,P1_foundations,Ch1-3,,,PASS
cohesion_gradient.pdf,P1_foundations,Ch1-3,,,PASS
crisp_recovery.pdf,P1_foundations,Ch1-3,,,PASS
diagnostic_radar.pdf,P1_foundations,Ch1-3,,,PASS
diagnostic_vector.pdf,P1_foundations,Ch1-3,,,PASS
distinction_field.pdf,P1_foundations,Ch1-3,,,PASS
gaussian_init.pdf,P1_foundations,Ch1-3,,,PASS
graph_examples.pdf,P1_foundations,Ch1-3,,,PASS
inside_comparison.pdf,P1_foundations,Ch1-3,,,PASS
inside_homogenization.pdf,P1_foundations,Ch1-3,,,PASS
object_vs_cohesion.pdf,P1_foundations,Ch1-3,,,PASS
persist_comparison.pdf,P1_foundations,Ch1-3,,,PASS
persist_overlap.pdf,P1_foundations,Ch1-3,,,PASS
sep_comparison.pdf,P1_foundations,Ch1-3,,,PASS
sep_u_vs_complement.pdf,P1_foundations,Ch1-3,,,PASS
soft_field_10x10.pdf,P1_foundations,Ch1-3,,,PASS
soft_field_20x20.pdf,P1_foundations,Ch1-3,,,PASS
soft_field_5x5.pdf,P1_foundations,Ch1-3,,,PASS
uniform_vs_formation.pdf,P1_foundations,Ch1-3,,,PASS
volume_constraint.pdf,P1_foundations,Ch1-3,,,PASS
