config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
20x20_c0.6,20,400,0.6,-3.0,116.9999999999996,122.99999999999945,3.2519459691726227,7.251496981244773,15.096742534091645,11.393518065811127,9.174344251632133,9.32250752352795,0.37088441009189993,0.019520232110099997,12.548129116697424,0.33639968967310446,0.3363996896731045,-0.005589602245561043,0.0,0.0,3.0,0.0,well-separated,well-separated,14.436966092754634,False,7.693820953369141
20x20_c0.6,20,400,0.6,-2.0,117.99999999999909,122.00000000000018,3.2741758303736637,7.277088125408017,15.097824641682825,11.419543952079557,9.186000236028244,9.348316038743787,0.34871747285832216,0.018353551203069588,12.528312395893453,0.33698963762956785,0.3369896376295678,-0.004999654289097766,0.0,0.0,3.0,0.0,well-separated,well-separated,14.46112583453693,False,7.342664003372192
20x20_c0.6,20,400,0.6,-1.0,118.99999999999979,121.00000000000026,3.2957055941885844,7.2988698550301905,15.098814909379232,11.444798953630993,9.19726025178391,9.371834404330592,0.3287518441974679,0.017302728641971993,12.510080639107212,0.33779452856854697,0.33779452856854686,-0.004194763350118702,0.0,0.0,3.0,0.0,well-separated,well-separated,14.48349975900748,False,6.227646112442017
20x20_c0.6,20,400,0.6,-0.5,119.49999999999926,120.50000000000031,3.3057138412898506,7.307794135633892,15.0999306789521,11.455807722794457,9.202822260120975,9.381800929214174,0.31982124603321493,0.01683269715964289,12.502382474275228,0.33818755123253963,0.33818755123253963,-0.0038017406861259317,0.0,0.0,3.0,0.0,well-separated,well-separated,14.493392111576258,False,7.171429872512817
20x20_c0.6,20,400,0.6,0.0,120.00000000000024,119.9999999999996,3.316072550219407,7.3149776108398274,15.101016537389905,11.466795569284402,9.208544543804656,9.390886590062115,0.3112105704732874,0.016379503709120388,12.494898844760968,0.3387210016558392,0.33872100165583907,-0.00326829026282649,0.0,0.0,3.0,0.0,well-separated,well-separated,14.502512001255052,False,17.267274141311646
20x20_c0.6,20,400,0.6,0.5,120.49999999999913,119.50000000000047,3.3269762502060454,7.320419215990653,15.102571602086527,11.477490447796908,9.214773926146286,9.39895483189378,0.3025955042686829,0.015926079172035944,12.487829559917143,0.3393665229095554,0.33936652290955527,-0.002622769009110293,0.0,0.0,3.0,0.0,well-separated,well-separated,14.51087499763262,False,11.675395727157593
20x20_c0.6,20,400,0.6,1.0,121.00000000000057,118.99999999999952,3.3380649638527777,7.325411612813771,15.104841913923151,11.4878110840033,9.221453438887965,9.406611348408536,0.2937850012397039,0.015462368486300206,12.48129036399948,0.3400042697755252,0.3400042697755252,-0.001985022143140336,0.0,0.0,3.0,0.0,well-separated,well-separated,14.518846410672868,False,21.058171272277832
20x20_c0.6,20,400,0.6,2.0,122.00000000000001,117.99999999999903,3.3606884231005885,7.335105080422671,15.11148603989137,11.507585114578873,9.23608723149598,9.421345097500772,0.2753843551595113,0.014493913429447964,12.469596395481613,0.3411937591666368,0.34119375916663675,-0.0007955327520288158,0.0,0.0,4.0,0.0,well-separated,well-separated,14.534415836874494,False,6.628014087677002
20x20_c0.6,20,400,0.6,3.0,123.00000000000051,116.99999999999966,3.382211921419653,7.34450328232157,15.119803427406461,11.525622198037611,9.251007674413056,9.43506274017959,0.25732086179355496,0.013543203252292366,12.460048545201266,0.342201767265841,0.34220176726584106,0.00021247534717550032,0.0,0.0,4.0,0.0,well-separated,well-separated,14.551057881192573,False,6.494793891906738
