config,lambda_rep,lambda_bar,n_images,n_iter,step,spring,source_energy,initial_max_delta,relaxed_max_delta,improvement,improvement_frac,initial_max_index,relaxed_max_index,max_mass_error,max_simplex_violation,max_box_low_violation,max_box_high_violation,history_monotone,history_max_increase
10x10:0.5,0.0,100.0,7,25,0.001,0.05,18.976021890039817,0.0,0.0,0.0,0.0,0,0,2.3447910280083306e-13,0.0,0.0,0.0,True,0.0
10x10:0.5,1.0,100.0,7,25,0.001,0.05,7.183892366026696,4.91754217566952,4.700906098576572,0.2166360770929483,0.044053730370589746,3,3,7.176481631177012e-13,0.0,0.0,0.0,True,-0.03434697621201366
10x10:0.5,5.0,100.0,7,25,0.001,0.05,5.671892834936115,9.11594685178716,8.209189752020766,0.9067570997663932,0.09946932715921064,3,3,2.6290081223123707e-13,0.0,0.0,0.0,True,-0.11795846967881296
10x10:0.6,0.0,100.0,7,25,0.001,0.05,15.013110771308945,0.0,0.0,0.0,0.0,0,0,6.750155989720952e-13,0.0,0.0,0.0,True,0.0
10x10:0.6,1.0,100.0,7,25,0.001,0.05,6.982354562092728,9.54981286539407,9.208116550777643,0.3416963146164278,0.03578041993415834,3,3,9.521272659185342e-13,0.0,0.0,0.0,True,-0.054936460469797055
10x10:0.6,5.0,100.0,7,25,0.001,0.05,6.950523061000254,31.0831584927488,27.256189626193006,3.826968866555795,0.12312033435883181,3,3,5.115907697472721e-13,0.0,0.0,0.0,True,-0.5890705848362998
12x12:0.6,0.0,100.0,7,25,0.001,0.05,21.14490391737288,0.0,0.0,0.0,0.0,0,0,9.094947017729282e-13,0.0,0.0,0.0,True,0.0
12x12:0.6,1.0,100.0,7,25,0.001,0.05,9.29621094995609,11.987055508395835,11.620566089302118,0.36648941909371757,0.03057376507825673,3,3,6.679101716144942e-13,0.0,0.0,0.0,True,-0.05876847784244177
12x12:0.6,5.0,100.0,7,25,0.001,0.05,9.172391763795057,36.40164443958616,31.37202525615956,5.029619183426597,0.1381701090942192,3,3,3.979039320256561e-13,0.0,0.0,0.0,True,-0.7645619539866928
