branch,source_lambda,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
branch_from_lambda_0,0.0,0.0,5.812145734072296,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,0.01,5.843875529803914,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,0.05,5.970794712730386,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,0.1,6.129443691388476,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,0.5,7.398635520653192,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,1.0,8.985125307234089,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_0,0.0,5.0,21.67704359988126,5.812145734072296,3.1729795731617925,0.18097090251929612,4.75406151177615,Type B candidate
branch_from_lambda_1,1.0,0.0,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,0.01,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,0.05,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,0.1,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,0.5,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,1.0,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
branch_from_lambda_1,1.0,5.0,4.854491369648045,4.854491369648045,0.0,0.03476145402920603,6.416017536310541,Type A candidate
