target_lambda,branch_type,E0,overlap,center_offset_norm,separation,family_distance_from_base,family_distance_from_prev,within_base_threshold,within_prev_threshold
0.05,Type B candidate,18.662768634041118,1.7321688980405079,0.12365882689510568,5.89872116454781,1.995848591638345,1.995848591638345,True,True
0.1,Type B candidate,18.05220504677203,0.7653250632050679,0.12319022489054683,6.255138728542079,3.3466721421643584,1.3790423961599492,True,True
0.15,Type B candidate,17.7273865542347,0.3621537515407566,0.12387164598027738,6.4535770425334125,3.9765056805144248,0.6591050174509335,True,True
0.2,Type B candidate,17.285408849735475,0.2380556966584421,0.12751292800282857,6.608999839228472,4.127291284204819,0.2780189499974661,True,True
0.3,Type B candidate,17.0247412953282,0.13083670845992748,0.12949650163525647,6.770963188724741,4.3197919287072075,0.32352440282641476,True,True
0.4,Type B candidate,16.80270113360736,0.06138301728782285,0.13045270208822374,6.984497205040996,4.447833687991666,0.2580742814397049,True,True
0.5,Type B candidate,16.729262428010877,0.04212992928151314,0.13115700951830228,7.117658750115645,4.497055556627448,0.21823111831566844,True,True
0.75,Type B candidate,16.681058046816865,0.014308429736955036,0.13208809172261765,7.247794876124082,4.547627547111667,0.09602611068230754,True,True
1.0,Type B candidate,16.596421993918163,0.01318448521288089,0.13330614123373616,7.392364846753796,4.5516168086742566,0.10711216060431851,True,True
