raw_index,branch_type,total_energy,E0,overlap,family_distance_to_continued,within_threshold
0,Type A candidate,27.852504953729717,27.621049838074455,0.46291023131052494,4.376604166916784,True
1,Type A candidate,32.92926148888306,32.48115054621832,0.8962218853294612,6.7590114832053025,False
2,Type A candidate,31.634187667176224,31.388664205434885,0.49104692348267576,5.140035485073453,False
3,Type A candidate,29.540813702594708,29.401943805131587,0.2777397949262377,5.163375119732314,False
4,Type A candidate,27.955585914588426,27.749434694879415,0.41230243941802114,4.689610471751858,True
5,Type A candidate,31.5822289954709,31.195539029839455,0.7733799312628857,4.9799988595603875,True
6,Type A candidate,27.621838377298168,27.45374083656654,0.3361950814632588,5.060713286592918,False
7,Type A candidate,31.648529608813647,31.45410673464825,0.38884574833079777,6.085519815031692,False
8,Type A candidate,33.56184797108466,33.10947283005508,0.9047502820591612,5.963274368889265,False
9,Type A candidate,26.222776306383953,26.094539739852685,0.25647313306253827,4.647791942744027,True
10,Type A candidate,28.071769258450185,27.925662156938134,0.29221420302410417,4.360664031270348,True
11,Type A candidate,29.021567031231566,28.86162493069444,0.31988420107425064,4.954316873365109,True
12,Type A candidate,31.428284614994585,30.945785409376988,0.9649984112351937,6.4005355448618815,False
13,Type A candidate,31.28893150628343,31.13085186759857,0.3161592773697204,5.407884248302325,False
14,Type A candidate,28.89831971290024,28.56554925404621,0.6655409177080546,4.757288508910211,True
15,Type A candidate,32.30074314720548,31.979318646006003,0.6428490023989588,5.967057996324749,False
